题目1: 77.0×7.0=
题目2665: 61.0-42.0+98.0=
题目2666: 23.0+97.0÷15.0=
题目2667: 48.0+96.0+62.0=
题目2668: 8.0÷20.0=
题目2669: 84.0+82.0=
题目2670: 50.0×22.0+71.0=
题目2671: 80.0+33.0×98.0=
题目2672: 89.0×65.0=
题目2673: (71.0-9.0)÷38.0=
题目2674: 68.0+61.0+58.0=
题目2675: 49.0÷10.0+98.0=
题目2676: 80.0×47.0×63.0=
题目2677: 4.0+25.0=
题目2678: 58.0-21.0=
题目2679: 88.0+47.0÷27.0=
题目2680: 27.0÷63.0=
题目2681: 34.0-24.0=
题目2682: 46.0×13.0=
题目2683: (99.0-6.0)÷69.0=
题目2684: 79.0-33.0+93.0=
题目2685: 93.0÷95.0+36.0=
题目2686: 21.0+50.0×80.0+73.0=
题目2687: 82.0÷94.0=
题目2688: 69.0-4.0=
题目2689: 15.0÷4.0+85.0=
题目2690: 92.0×71.0=
题目2691: 34.0×16.0+3.0=
题目2692: 64.0-32.0=
题目2693: 30.0+36.0=
题目2694: 2.0×12.0=
题目2695: 85.0-72.0+80.0=
题目2696: 39.0-9.0=
题目2697: 25.0+92.0=
题目2698: 48.0÷53.0+87.0=
题目2699: 48.0÷51.0÷15.0=
题目2700: (52.0-6.0)÷95.0=
题目2701: 39.0+34.0=
题目2702: 47.0+91.0=
题目2703: 94.0+71.0÷16.0-43.0=
题目2704: 85.0-7.0=
题目2705: 48.0÷57.0=
题目2706: 99.0×63.0=
题目2707: (88.0-22.0)×22.0=
题目2708: 78.0÷94.0=
题目2709: 96.0+83.0×57.0+55.0=
题目2710: 56.0+43.0×35.0=
题目2711: 44.0×24.0×91.0=
题目2712: 1.0×82.0+22.0=
题目2713: 74.0×16.0=
题目2714: 80.0-37.0=
题目2715: 17.0+14.0÷98.0=
题目2716: 81.0-41.0-23.0=
题目2717: 52.0+95.0+20.0=
题目2718: 100.0-63.0+14.0=
题目2719: 53.0+88.0÷71.0+83.0=
题目2720: 85.0+27.0=
题目2721: 46.0÷71.0=
题目2722: 47.0×34.0=
题目2723: 7.0+17.0=
题目2724: 23.0+8.0×34.0=
题目2725: 91.0+31.0-62.0=
题目2726: (90.0-35.0)÷30.0=
题目2727: 12.0÷44.0=
题目2728: 30.0+13.0=
题目2729: 66.0×75.0+15.0=
题目2730: 13.0÷39.0=
题目2731: (22.0-1.0)×30.0=
题目2732: 34.0×60.0×42.0=
题目2733: 94.0÷16.0÷96.0=
题目2734: 16.0×58.0÷78.0=
题目2735: 62.0-9.0=
题目2736: 29.0÷13.0=
题目2737: 32.0÷63.0=
题目2738: 7.0×45.0+67.0=
题目2739: 70.0÷42.0×93.0=
题目2740: 68.0-45.0=
题目2741: 70.0÷5.0×97.0=
题目2742: 39.0+73.0=
题目2743: 1.0÷19.0+55.0=
题目2744: 8.0×21.0×80.0=
题目2745: 46.0÷74.0×17.0=
题目2746: 72.0+40.0-30.0=
题目2747: 97.0×67.0=
题目2748: 9.0÷83.0=
题目2749: 35.0+72.0-41.0=
题目2750: 60.0-59.0=
题目2751: 30.0×14.0=
题目2752: 46.0÷82.0+95.0=
题目2753: 61.0+5.0×70.0+70.0=
题目2754: 30.0-36.0+40.0=
题目2755: 45.0+99.0÷73.0=
题目2756: 62.0+64.0÷39.0=
题目2757: 10.0÷12.0÷9.0=
题目2758: 13.0+40.0÷22.0=
题目2759: 92.0-41.0=
题目2760: 51.0÷63.0=
题目2761: 11.0÷78.0×69.0=
题目2762: 55.0+13.0÷81.0×84.0=
题目2763: 51.0÷92.0+56.0=
题目2764: 28.0+48.0-37.0+41.0=
题目2765: 71.0÷81.0=
题目2766: 1.0+58.0×11.0=
题目2767: 78.0+29.0×61.0=
题目2768: 53.0×77.0+70.0=
题目2769: 38.0÷1.0+38.0=
题目2770: 49.0÷3.0÷33.0=
题目2771: 11.0÷49.0=
题目2772: 8.0×64.0=
题目2773: 67.0÷84.0=
题目2774: 82.0÷56.0×79.0=
题目2775: 57.0-68.0+17.0=
题目2776: 29.0-25.0=
题目2777: 32.0×34.0+62.0=
题目2778: 59.0÷9.0+94.0=
题目2779: 65.0×65.0=
题目2780: 51.0÷26.0=
题目2781: 54.0-52.0+50.0=
题目2782: 41.0×50.0=
题目2783: 26.0÷89.0+74.0=
题目2784: 23.0÷84.0=
题目2785: 38.0×1.0+97.0=
题目2786: 90.0+89.0=
题目2787: 20.0×43.0=
题目2788: 90.0×89.0=
题目2789: (37.0-26.0)×49.0=
题目2790: 2.0×99.0=
题目2791: 23.0×9.0=
题目2792: 58.0÷93.0=
题目2793: 25.0×33.0×30.0=
题目2794: 90.0-74.0=
题目2795: 11.0+84.0=
题目2796: 95.0×60.0+76.0=
题目2797: 80.0+86.0=
题目2798: 46.0+57.0=
题目2799: 40.0-17.0=
题目2800: 2.0×35.0+30.0=
题目2801: 49.0×68.0×94.0=
题目2802: 28.0×33.0=
题目2803: 71.0-42.0=
题目2804: 95.0+2.0=
题目2805: 45.0+59.0=
题目2806: (63.0-23.0)÷19.0=
题目2807: 51.0×32.0=
题目2808: 61.0×68.0=
题目2809: 33.0×97.0+26.0=
题目2810: 41.0-20.0=
题目2811: 17.0×3.0=
题目2812: 26.0÷62.0=
题目2813: 26.0÷69.0÷44.0=
题目2814: 69.0-40.0=
题目2815: 47.0×4.0=
题目2816: 85.0+63.0÷17.0=
题目2817: 98.0-49.0=
题目2818: 74.0×3.0×63.0=
题目2819: 45.0+38.0×71.0=
题目2820: 19.0+94.0×36.0=
题目2821: 46.0×4.0=
题目2822: 99.0×23.0+39.0=
题目2823: 4.0÷3.0+33.0=
题目2824: 7.0×57.0÷71.0=
题目2825: 66.0÷98.0+42.0=
题目2826: 35.0÷3.0=
题目2827: 99.0×70.0+79.0=
题目2828: 9.0+73.0×30.0=
题目2829: 41.0×82.0=
题目2830: (76.0-64.0)÷45.0=
题目2831: 9.0-7.0=
题目2832: 56.0×79.0=
题目2833: 95.0+19.0÷13.0×43.0=
题目2834: 53.0+11.0=
题目2835: 28.0+3.0÷50.0=
题目2836: 8.0÷58.0÷19.0=
题目2837: 57.0+7.0=
题目2838: 74.0+97.0=
题目2839: 4.0×18.0×41.0=
题目2840: 90.0-57.0+84.0=
题目2841: 35.0÷5.0=
题目2842: 55.0÷11.0=
题目2843: 37.0-8.0=
题目2844: 79.0×26.0+43.0=
题目2845: 42.0×62.0+35.0=
题目2846: 66.0+71.0=
题目2847: 77.0+65.0=
题目2848: 10.0÷59.0=
题目2849: 78.0-48.0=
题目2850: 100.0+30.0=
题目2851: (80.0-18.0)÷82.0=
题目2852: 23.0÷35.0=
题目2853: 69.0+25.0=
题目2854: 2.0÷38.0+96.0=
题目2855: 28.0-3.0=
题目2856: (78.0-38.0)×95.0=
题目2857: 27.0×16.0=
题目2858: 72.0+17.0÷15.0+30.0=
题目2859: 9.0+100.0=
题目2860: 65.0÷92.0=
题目2861: 44.0-1.0=
题目2862: 53.0-44.0=
题目2863: 6.0+18.0=
题目2864: 99.0-82.0=
题目2865: 60.0+67.0=
题目2866: 52.0×100.0×6.0=
题目2867: 19.0÷26.0÷83.0=
题目2868: 100.0+15.0÷29.0=
题目2869: 35.0+63.0=
题目2870: 83.0÷78.0=
题目2871: 47.0×26.0×97.0=
题目2872: 29.0-22.0+44.0=
题目2873: 74.0+59.0÷65.0=
题目2874: 5.0+73.0+84.0=
题目2875: 76.0×8.0÷62.0=
题目2876: 93.0÷74.0+58.0=
题目2877: 96.0-22.0=
题目2878: 61.0-35.0+60.0=
题目2879: 51.0÷8.0=
题目2880: 31.0÷84.0=
题目2881: (56.0-35.0)×100.0=
题目2882: 36.0+78.0+21.0=
题目2883: 36.0+49.0+58.0=
题目2884: 84.0-70.0=
题目2885: 34.0÷87.0+67.0=
题目2886: 57.0×51.0×5.0=
题目2887: 50.0÷50.0=
题目2888: (21.0-11.0)÷72.0=
题目2889: 4.0÷3.0×58.0=
题目2890: 78.0×95.0=
题目2891: 41.0×91.0=
题目2892: 46.0×14.0=
题目2893: 84.0+93.0+45.0=
题目2894: 19.0÷35.0=
题目2895: 68.0×13.0=
题目2896: 13.0+46.0-56.0+15.0=
题目2897: 35.0×78.0+21.0=
题目2898: 6.0+48.0+17.0=
题目2899: (20.0-7.0)÷54.0=
题目2900: 47.0÷96.0=
题目2901: 35.0+42.0×1.0=
题目2902: 68.0+54.0÷72.0×40.0=
题目2903: 87.0+73.0×63.0+28.0=
题目2904: 28.0×20.0+67.0=
题目2905: 52.0+56.0+76.0=
题目2906: 35.0÷39.0=
题目2907: 13.0+25.0×61.0=
题目2908: (73.0-32.0)÷25.0=
题目2909: 21.0÷32.0÷89.0=
题目2910: 55.0×43.0÷28.0=
题目2911: 100.0-37.0=
题目2912: 30.0+72.0=
题目2913: 99.0+31.0+3.0=
题目2914: 8.0+49.0=
题目2915: 94.0÷20.0÷67.0=
题目2916: 88.0-13.0+31.0=
题目2917: 8.0×54.0+25.0=
题目2918: 56.0÷7.0=
题目2919: 63.0+41.0+89.0=
题目2920: 94.0-94.0=
题目2921: 83.0+66.0+67.0+65.0=
题目2922: 78.0-43.0=
题目2923: 48.0÷56.0=
题目2924: 16.0÷70.0×51.0=
题目2925: 100.0+13.0×27.0=
题目2926: 75.0-23.0+92.0=
题目2927: 30.0+87.0+63.0+94.0=
题目2928: 30.0×52.0+55.0=
题目2929: 89.0-57.0=
题目2930: 87.0+26.0-94.0=
题目2931: 74.0+2.0=
题目2932: 85.0×30.0=
题目2933: 83.0×46.0=
题目2934: 26.0×25.0=
题目2935: 84.0-37.0=
题目2936: 25.0÷82.0=
题目2937: 24.0×11.0+46.0=
题目2938: 78.0÷13.0=
题目2939: 10.0×64.0÷50.0=
题目2940: 6.0+60.0=
题目2941: 10.0+91.0-7.0=
题目2942: 83.0÷86.0=
题目2943: 87.0+100.0÷62.0×97.0=
题目2944: 41.0+46.0=
题目2945: 54.0+33.0-8.0=
题目2946: 2.0×31.0÷25.0=
题目2947: 10.0÷37.0=
题目2948: 13.0×80.0÷50.0=
题目2949: (94.0-90.0)÷56.0=
题目2950: 98.0-48.0=
题目2951: 11.0+51.0=
题目2952: 94.0÷40.0=
题目2953: 86.0×41.0+14.0=
题目2954: 65.0+20.0=
题目2955: 7.0×65.0×77.0=
题目2956: (60.0-53.0)×44.0=
题目2957: 65.0-26.0-16.0=
题目2958: 38.0+22.0×50.0=
题目2959: 64.0×87.0=
题目2960: (99.0-30.0)÷49.0=
题目2961: 22.0÷91.0=
题目2962: 98.0+41.0=
题目2963: 73.0-49.0+42.0=
题目2964: 26.0÷97.0+40.0=
题目2965: 42.0÷67.0=
题目2966: 24.0-20.0=
题目2967: 71.0÷91.0÷9.0=
题目2968: 24.0÷26.0=
题目2969: 21.0÷10.0=
题目2970: (58.0-48.0)÷99.0=
题目2971: 55.0×94.0÷32.0=
题目2972: 82.0×77.0=
题目2973: 81.0×76.0÷83.0=
题目2974: 91.0-27.0=
题目2975: 57.0×15.0=
题目2976: 25.0×32.0=
题目2977: 33.0÷6.0=
题目2978: 39.0×84.0=
题目2979: 82.0-41.0=
题目2980: (75.0-29.0)×42.0=
题目2981: 60.0-62.0+96.0=
题目2982: 62.0÷51.0÷46.0=
题目2983: 25.0+28.0=
题目2984: 75.0×71.0=
题目2985: 97.0÷94.0=
题目2986: (75.0-1.0)÷50.0=
题目2987: 73.0×35.0×76.0=
题目2988: 82.0÷45.0=
题目2989: 35.0+55.0÷85.0=
题目2990: 62.0÷48.0÷86.0=
题目2991: 81.0÷88.0+68.0=
题目2992: (63.0-42.0)÷14.0=
题目2993: 81.0-74.0-4.0=
题目2994: 82.0÷47.0=
题目2995: 77.0+65.0=
题目2996: 49.0×10.0+91.0=
题目2997: 3.0÷92.0÷57.0=
题目2998: 84.0÷80.0×47.0=
题目2999: (67.0-26.0)×9.0=
题目3000: 29.0+12.0+42.0=
题目3001: 39.0×34.0×20.0=
题目3002: 24.0+9.0=
题目3003: 25.0+63.0-20.0=
题目3004: (65.0-63.0)×76.0=
题目3005: 78.0-32.0=
题目3006: 87.0÷15.0=
题目3007: 38.0÷13.0÷89.0=
题目3008: 79.0×89.0=
题目3009: 9.0×90.0+39.0=
题目3010: 9.0×66.0+18.0=
题目3011: (74.0-72.0)×85.0=
题目3012: 37.0+79.0÷18.0+35.0=
题目3013: 29.0+18.0×62.0+55.0=
题目3014: 59.0÷97.0×7.0=
题目3015: 47.0×100.0=
题目3016: 55.0+100.0-71.0=
题目3017: 88.0-36.0=
题目3018: 12.0+54.0=
题目3019: 52.0×23.0=
题目3020: 46.0×43.0=
题目3021: 19.0÷83.0÷40.0=
题目3022: 86.0-39.0+43.0=
题目3023: 43.0÷28.0÷95.0=
题目3024: 32.0+47.0÷33.0+21.0=
题目3025: 74.0-9.0=
题目3026: 56.0+12.0+90.0=
题目3027: 9.0×18.0=
题目3028: 36.0-10.0=
题目3029: 89.0÷90.0+44.0=
题目3030: 82.0×16.0+97.0=
题目3031: 96.0×32.0+77.0=
题目3032: 4.0×49.0=
题目3033: 68.0-41.0=
题目3034: 24.0+21.0÷39.0×52.0=
题目3035: 63.0-73.0+72.0=
题目3036: 100.0×61.0÷78.0=
题目3037: (63.0-51.0)÷53.0=
题目3038: 12.0+70.0÷15.0+100.0=
题目3039: 67.0÷8.0×92.0=
题目3040: 80.0-37.0=
题目3041: 35.0×31.0=
题目3042: 85.0×29.0=
题目3043: 49.0÷12.0+41.0=
题目3044: 87.0-77.0=
题目3045: (83.0-59.0)÷32.0=
题目3046: 86.0+48.0+88.0=
题目3047: 21.0+92.0+60.0+51.0=
题目3048: 99.0-22.0-5.0=
题目3049: 66.0+70.0-32.0=
题目3050: (90.0-66.0)÷75.0=
题目3051: 81.0+7.0=
题目3052: (100.0-57.0)×75.0=
题目3053: 29.0-27.0=
题目3054: 77.0-45.0=
题目3055: (52.0-51.0)×57.0=
题目3056: 55.0×7.0+12.0=
题目3057: 3.0×16.0+25.0=
题目3058: (83.0-64.0)×33.0=
题目3059: 78.0+51.0-95.0=
题目3060: 58.0-46.0=
题目3061: 25.0×84.0×36.0=
题目3062: 79.0+69.0×52.0=
题目3063: 24.0+81.0×5.0=
题目3064: 96.0×38.0+3.0=
题目3065: 27.0+5.0=
题目3066: 94.0-4.0=
题目3067: 24.0-1.0+55.0=
题目3068: 60.0÷95.0=
题目3069: 86.0×15.0+19.0=
题目3070: 36.0×11.0=
题目3071: 69.0÷61.0=
题目3072: (89.0-37.0)×38.0=
题目3073: 65.0+5.0÷79.0=
题目3074: 43.0÷35.0×38.0=
题目3075: 68.0-34.0=
题目3076: 46.0÷53.0÷41.0=
题目3077: 44.0÷68.0=
题目3078: 5.0+8.0=
题目3079: 68.0×27.0=
题目3080: 99.0+46.0=
题目3081: 28.0-24.0=
题目3082: 68.0+66.0×21.0=
题目3083: 99.0×53.0=
题目3084: 100.0×5.0=
题目3085: 96.0-52.0=
题目3086: 13.0×100.0=
题目3087: 1.0×93.0=
题目3088: 40.0÷60.0÷9.0=
题目3089: 1.0×51.0÷13.0=
题目3090: 75.0-70.0=
题目3091: 62.0÷5.0÷60.0=
题目3092: 62.0×99.0=
题目3093: 72.0+47.0+1.0=
题目3094: 76.0÷41.0=
题目3095: (74.0-48.0)×66.0=
题目3096: 78.0×67.0+22.0=
题目3097: 95.0÷17.0÷14.0=
题目3098: 76.0+85.0×79.0+47.0=
题目3099: 99.0+90.0×61.0=
题目3100: 41.0×53.0÷4.0=
题目3101: 73.0÷67.0=
题目3102: 27.0+34.0=
题目3103: 58.0×25.0×14.0=
题目3104: 42.0+66.0÷40.0=
题目3105: 55.0÷41.0=
题目3106: 42.0÷49.0=
题目3107: 15.0÷69.0=
题目3108: 31.0×88.0=
题目3109: 21.0×38.0=
题目3110: 96.0÷92.0+10.0=
题目3111: 84.0÷74.0+63.0=
题目3112: 56.0÷15.0=
题目3113: 73.0÷10.0+100.0=
题目3114: 48.0÷53.0=
题目3115: 54.0×21.0+30.0=
题目3116: 1.0÷96.0=
题目3117: 48.0×93.0÷62.0=
题目3118: 80.0+4.0-28.0=
题目3119: 36.0-9.0=
题目3120: 8.0+52.0×40.0=
题目3121: 21.0÷4.0=
题目3122: 45.0+66.0+57.0=
题目3123: 52.0+86.0=
题目3124: 14.0÷47.0=
题目3125: 18.0÷43.0=
题目3126: 22.0×12.0=
题目3127: 42.0×70.0=
题目3128: 27.0+81.0=
题目3129: 58.0÷97.0=
题目3130: 37.0×10.0=
题目3131: 93.0×79.0=
题目3132: 73.0÷7.0=
题目3133: 45.0-27.0=
题目3134: 68.0×77.0×83.0=
题目3135: 68.0+14.0+61.0=
题目3136: 39.0+78.0+38.0=
题目3137: 85.0÷73.0=
题目3138: 84.0+24.0=
题目3139: (17.0-14.0)÷23.0=
题目3140: (97.0-19.0)×98.0=
题目3141: 65.0+77.0=
题目3142: 22.0÷19.0=
题目3143: (96.0-50.0)÷16.0=
题目3144: 32.0+69.0=
题目3145: 68.0+40.0-25.0=
题目3146: 31.0×85.0+84.0=
题目3147: 1.0×54.0=
题目3148: 51.0÷52.0+17.0=
题目3149: 72.0+40.0=
题目3150: 32.0÷21.0=
题目3151: 16.0÷37.0=
题目3152: 23.0+47.0+94.0=
题目3153: 55.0÷61.0=
题目3154: 1.0+51.0+59.0+45.0=
题目3155: 53.0×65.0÷88.0=
题目3156: 19.0÷99.0=
题目3157: 22.0+19.0÷46.0+72.0=
题目3158: 16.0×23.0=
题目3159: 51.0+42.0=
题目3160: (99.0-13.0)×75.0=
题目3161: (88.0-66.0)÷28.0=
题目3162: 91.0-51.0=
题目3163: 12.0+42.0+98.0=
题目3164: 10.0+30.0=
题目3165: 54.0-49.0=
题目3166: 44.0×13.0×40.0=
题目3167: 4.0×30.0=
题目3168: 80.0×97.0=
题目3169: 89.0÷35.0=
题目3170: 47.0×46.0=
题目3171: 45.0-21.0=
题目3172: 36.0+77.0+98.0=
题目3173: 67.0+44.0÷86.0×11.0=
题目3174: 87.0×98.0×94.0=
题目3175: 76.0-34.0=
题目3176: 1.0+99.0÷79.0=
题目3177: 14.0+30.0=
题目3178: 18.0-16.0=
题目3179: 34.0÷25.0=
题目3180: 73.0÷37.0=
题目3181: 9.0+25.0=
题目3182: 78.0+14.0×8.0=
题目3183: 92.0+27.0÷3.0=
题目3184: 57.0+9.0-25.0=
题目3185: 96.0+18.0-93.0=
题目3186: 66.0+7.0÷84.0=
题目3187: 49.0+44.0÷63.0=
题目3188: (8.0-1.0)×62.0=
题目3189: 31.0×74.0×96.0=
题目3190: 20.0×63.0×74.0=
题目3191: 76.0÷6.0=
题目3192: 85.0-56.0=
题目3193: (92.0-60.0)×76.0=
题目3194: 74.0+69.0×71.0+3.0=
题目3195: (47.0-19.0)÷24.0=
题目3196: 24.0+22.0=
题目3197: 25.0÷8.0+60.0=
题目3198: 54.0+47.0-32.0=
题目3199: 57.0+21.0=
题目3200: 10.0+7.0=
题目3201: 96.0÷56.0÷32.0=
题目3202: 79.0+58.0=
题目3203: 29.0÷89.0=
题目3204: 51.0÷50.0=
题目3205: 64.0÷11.0×83.0=
题目3206: (34.0-16.0)÷9.0=
题目3207: 21.0+29.0=
题目3208: 25.0+93.0=
题目3209: 96.0+39.0×89.0=
题目3210: 46.0+74.0+43.0=
题目3211: 83.0+78.0+51.0+96.0=
题目3212: 75.0-42.0=
题目3213: 24.0+100.0=
题目3214: 100.0×75.0×42.0=
题目3215: 70.0+56.0+88.0=
题目3216: 58.0×100.0=
题目3217: 98.0×94.0÷24.0=
题目3218: 42.0-3.0+100.0=
题目3219: 78.0÷2.0=
题目3220: 55.0÷47.0=
题目3221: 89.0×17.0÷85.0=
题目3222: 64.0+99.0=
题目3223: (37.0-15.0)÷5.0=
题目3224: 50.0÷22.0÷37.0=
题目3225: 1.0+86.0÷45.0=
题目3226: 70.0÷4.0=
题目3227: 51.0+4.0=
题目3228: 36.0÷9.0×61.0=
题目3229: 31.0+98.0=
题目3230: 15.0×89.0=
题目3231: 59.0+100.0=
题目3232: 73.0÷92.0÷95.0=
题目3233: 15.0÷96.0=
题目3234: 31.0÷68.0=
题目3235: 47.0+38.0÷38.0=
题目3236: 76.0+38.0÷96.0=
题目3237: 10.0×73.0=
题目3238: 99.0÷27.0=
题目3239: 86.0-81.0=
题目3240: 28.0×27.0=
题目3241: 45.0+84.0÷10.0=
题目3242: 69.0×60.0÷81.0=
题目3243: 29.0+89.0=
题目3244: 33.0÷42.0=
题目3245: 21.0÷83.0=
题目3246: 15.0÷31.0=
题目3247: 23.0÷20.0=
题目3248: 19.0÷22.0+88.0=
题目3249: (22.0-11.0)÷90.0=
题目3250: (67.0-51.0)×78.0=
题目3251: 78.0×7.0=
题目3252: 66.0+39.0+20.0=
题目3253: 14.0+53.0-9.0=
题目3254: (46.0-2.0)×24.0=
题目3255: 27.0×35.0+73.0=
题目3256: 89.0×46.0=
题目3257: 39.0×56.0×12.0=
题目3258: 97.0÷45.0×5.0=
题目3259: 73.0+24.0=
题目3260: 62.0+46.0÷60.0-17.0=
题目3261: 86.0×47.0=
题目3262: 65.0+2.0+82.0=
题目3263: 40.0÷24.0=
题目3264: 83.0+59.0÷17.0-74.0=
题目3265: 59.0+62.0-55.0+91.0=
题目3266: 53.0÷46.0=
题目3267: 48.0-9.0=
题目3268: 56.0×97.0=
题目3269: 46.0-22.0=
题目3270: 64.0+54.0=
题目3271: 56.0+29.0×40.0=
题目3272: 14.0×14.0=
题目3273: 30.0+48.0=
题目3274: 48.0÷52.0=
题目3275: 83.0×61.0=
题目3276: 73.0+43.0=
题目3277: 8.0+83.0=
题目3278: 51.0+28.0+90.0=
题目3279: 100.0×79.0×81.0=
题目3280: 84.0-8.0-37.0=
题目3281: 84.0+29.0-63.0+9.0=
题目3282: 65.0+63.0-22.0=
题目3283: 66.0+6.0=
题目3284: 46.0÷33.0=
题目3285: 62.0+95.0-21.0=
题目3286: 14.0×43.0+27.0=
题目3287: 86.0÷73.0=
题目3288: 66.0×15.0×82.0=
题目3289: 58.0+85.0=
题目3290: 77.0×63.0÷87.0=
题目3291: 33.0÷68.0=
题目3292: 52.0×25.0+86.0=
题目3293: 13.0÷15.0÷89.0=
题目3294: 92.0-28.0=
题目3295: 53.0×65.0=
题目3296: 13.0+79.0=
题目3297: 93.0+48.0+10.0=
题目3298: 76.0×3.0=
题目3299: 22.0×90.0=
题目3300: 97.0÷84.0=
题目3301: 47.0×57.0+39.0=
题目3302: (80.0-43.0)×67.0=
题目3303: 88.0÷91.0=
题目3304: 38.0×32.0+98.0=
题目3305: 88.0-47.0=
题目3306: 89.0×99.0÷57.0=
题目3307: 18.0÷68.0×80.0=
题目3308: 84.0+69.0÷26.0×96.0=
题目3309: 32.0+53.0÷81.0=
题目3310: 11.0×56.0×42.0=
题目3311: 79.0÷85.0=
题目3312: 94.0+71.0+85.0=
题目3313: 9.0+83.0÷10.0=
题目3314: 97.0×98.0+53.0=
题目3315: 76.0+39.0=
题目3316: (55.0-13.0)×92.0=
题目3317: 79.0+25.0+43.0=
题目3318: 15.0-12.0=
题目3319: 22.0÷85.0=
题目3320: (59.0-11.0)÷96.0=
题目3321: 62.0×5.0÷44.0=
题目3322: 35.0×54.0×53.0=
题目3323: 81.0-27.0=
题目3324: 64.0×64.0=
题目3325: 57.0×66.0=
题目3326: 34.0+47.0=
题目3327: 29.0÷99.0=
题目3328: 20.0+20.0÷73.0=
题目3329: 10.0×82.0+59.0=
题目3330: 41.0÷91.0=
题目3331: 99.0-5.0+48.0=
题目3332: 83.0÷78.0=
题目3333: 82.0×56.0+95.0=
题目3334: 87.0-52.0=
题目3335: 63.0+32.0+11.0=
题目3336: 77.0+17.0=
题目3337: 86.0-48.0=
题目3338: 94.0+3.0÷42.0=
题目3339: 49.0+84.0×15.0=
题目3340: 23.0-9.0=
题目3341: 10.0+65.0+31.0=
题目3342: 45.0×61.0=
题目3343: 38.0÷30.0÷4.0=
题目3344: 96.0+28.0÷99.0=
题目3345: 41.0÷49.0×16.0=
题目3346: 51.0÷96.0=
题目3347: 96.0-71.0=
题目3348: 34.0+54.0×42.0=
题目3349: 14.0÷26.0÷16.0=
题目3350: 69.0×53.0=
题目3351: 24.0÷4.0×58.0=
题目3352: 95.0-41.0=
题目3353: 80.0+63.0+73.0=
题目3354: 9.0+30.0=
题目3355: 53.0+19.0=
题目3356: 3.0×55.0=
题目3357: 61.0×92.0+94.0=
题目3358: 31.0÷83.0=
题目3359: (40.0-11.0)÷84.0=
题目3360: 34.0×83.0=
题目3361: 41.0×78.0+41.0=
题目3362: (50.0-40.0)×3.0=
题目3363: 8.0×6.0+17.0=
题目3364: 31.0÷89.0÷74.0=
题目3365: 96.0+84.0÷67.0+92.0=
题目3366: 56.0×61.0=
题目3367: 50.0÷72.0=
题目3368: 73.0×78.0+99.0=
题目3369: 65.0-47.0=
题目3370: 53.0×81.0=
题目3371: 83.0-46.0=
题目3372: 98.0-32.0+49.0=
题目3373: 62.0+38.0=
题目3374: 37.0÷62.0=
题目3375: 32.0÷84.0×76.0=
题目3376: (93.0-14.0)÷73.0=
题目3377: 47.0+25.0÷39.0=
题目3378: 16.0×6.0=
题目3379: 62.0+26.0÷88.0=
题目3380: 12.0÷35.0=
题目3381: 25.0-26.0+1.0=
题目3382: 33.0+30.0=
题目3383: 77.0+88.0=
题目3384: 96.0+79.0=
题目3385: 58.0+48.0=
题目3386: 88.0-84.0=
题目3387: 37.0-76.0+40.0=
题目3388: 99.0÷44.0=
题目3389: 39.0+84.0=
题目3390: 63.0+39.0+89.0=
题目3391: 78.0+25.0÷91.0=
题目3392: (91.0-3.0)×26.0=
题目3393: 34.0+12.0=
题目3394: 81.0+96.0×100.0=
题目3395: 87.0-84.0=
题目3396: 27.0÷12.0=
题目3397: 28.0+67.0÷15.0+97.0=
题目3398: 60.0-19.0=
题目3399: 45.0÷34.0÷5.0=
题目3400: 21.0+41.0×19.0=
题目3401: 73.0×8.0×34.0=
题目3402: 33.0×32.0×63.0=
题目3403: 51.0+52.0+67.0=
题目3404: 1.0+75.0+87.0=
题目3405: 42.0+93.0-12.0=
题目3406: 75.0÷24.0=
题目3407: 46.0+33.0=
题目3408: 98.0-34.0=
题目3409: 63.0×5.0+67.0=
题目3410: 58.0÷65.0=
题目3411: 82.0÷11.0=
题目3412: 98.0×48.0+41.0=
题目3413: 89.0-67.0=
题目3414: 38.0÷44.0÷16.0=
题目3415: 50.0×81.0÷71.0=
题目3416: 70.0÷89.0=
题目3417: 9.0×43.0÷36.0=
题目3418: 20.0×66.0+58.0=
题目3419: 25.0-11.0=
题目3420: 45.0×12.0=
题目3421: 67.0×83.0+69.0=
题目3422: 6.0+74.0-22.0+6.0=
题目3423: 57.0×2.0×69.0=
题目3424: 96.0÷71.0=
题目3425: 89.0×2.0+4.0=
题目3426: 100.0-51.0=
题目3427: 35.0+95.0=
题目3428: (30.0-22.0)×83.0=
题目3429: 85.0+24.0=
题目3430: 82.0+99.0-71.0+41.0=
题目3431: 84.0×80.0+73.0=
题目3432: 27.0+76.0-12.0=
题目3433: 74.0+81.0-100.0=
题目3434: 32.0÷24.0÷16.0=
题目3435: 73.0+72.0=
题目3436: 86.0×5.0×36.0=
题目3437: 36.0-3.0=
题目3438: 42.0×23.0×42.0=
题目3439: 18.0+95.0=
题目3440: 90.0÷95.0=
题目3441: (89.0-63.0)÷66.0=
题目3442: 62.0×82.0=
题目3443: 53.0+16.0=
题目3444: 87.0-51.0=
题目3445: 81.0+57.0-76.0=
题目3446: (69.0-63.0)×79.0=
题目3447: 85.0+40.0÷10.0+100.0=
题目3448: 54.0×25.0=
题目3449: (98.0-21.0)×58.0=
题目3450: 75.0-22.0+43.0=
题目3451: 84.0+76.0=
题目3452: 87.0÷68.0+39.0=
